latitude,longitude,altitude,deviceTime,fixTime,attributes.distance,attributes.totalDistance,attributes.batteryLevel,speed,date,time,datetime,partday
-0.185703,-78.491772,2820.553260803223,2020-05-20T02:55:46.000+0000,2020-05-20T02:55:46.000+0000,0.0,47015.43,33.0,0.0,2020-05-20,02:55:46,2020-05-20 02:55:46+00:00,3
-0.185703,-78.491772,2823.363075256348,2020-05-20T03:00:46.000+0000,2020-05-20T03:00:46.000+0000,0.0,47015.43,32.0,0.0,2020-05-20,03:00:46,2020-05-20 03:00:46+00:00,3
-0.185703,-78.491772,2823.767616271973,2020-05-20T03:05:47.000+0000,2020-05-20T03:05:47.000+0000,0.0,47015.43,30.00000190734863,0.0,2020-05-20,03:05:47,2020-05-20 03:05:47+00:00,3
-0.185703,-78.491772,2823.772743225098,2020-05-20T03:10:47.000+0000,2020-05-20T03:10:47.000+0000,0.0,47015.43,29.0,0.0,2020-05-20,03:10:47,2020-05-20 03:10:47+00:00,3
-0.185705,-78.491773,2824.394081115723,2020-05-20T03:15:47.000+0000,2020-05-20T03:15:47.000+0000,0.25,47015.68,28.0,0.0,2020-05-20,03:15:47,2020-05-20 03:15:47+00:00,3
-0.185685,-78.491786,2823.637245178223,2020-05-20T03:20:48.000+0000,2020-05-20T03:20:48.000+0000,2.66,47018.34,27.00000190734863,0.0,2020-05-20,03:20:48,2020-05-20 03:20:48+00:00,3
-0.185685,-78.491786,2823.705360412598,2020-05-20T03:25:48.000+0000,2020-05-20T03:25:48.000+0000,0.0,47018.34,26.0,0.0,2020-05-20,03:25:48,2020-05-20 03:25:48+00:00,3
-0.185685,-78.491786,2823.089637756348,2020-05-20T03:30:48.000+0000,2020-05-20T03:30:48.000+0000,0.0,47018.34,25.0,0.0,2020-05-20,03:30:48,2020-05-20 03:30:48+00:00,3
-0.185685,-78.491786,2823.648231506348,2020-05-20T03:35:49.000+0000,2020-05-20T03:35:49.000+0000,0.0,47018.34,23.0,0.0,2020-05-20,03:35:49,2020-05-20 03:35:49+00:00,3
-0.185671,-78.491789,2823.548133850098,2020-05-20T03:40:49.000+0000,2020-05-20T03:40:49.000+0000,1.59,47019.93,22.0,0.0,2020-05-20,03:40:49,2020-05-20 03:40:49+00:00,3
-0.185671,-78.491789,2823.138954162598,2020-05-20T03:45:50.000+0000,2020-05-20T03:45:50.000+0000,0.0,47019.93,21.0,0.0,2020-05-20,03:45:50,2020-05-20 03:45:50+00:00,3
-0.185584,-78.491701,2821.014198303223,2020-05-20T03:50:50.000+0000,2020-05-20T03:50:50.000+0000,13.78,47033.71,20.0,1.224619190731049,2020-05-20,03:50:50,2020-05-20 03:50:50+00:00,3
